id,name,country,country_code,city,rank,is_ranked,is_tied,rank_label,global_score,enrollment,url,image_url
166027,Harvard University,United States,USA,Cambridge (U.S.),1,true,false,Best Global Universities,100,22164,https://www.usnews.com/education/best-global-universities/harvard-university-166027,https://www.usnews.com/object/image/0000014e-d02b-d0b6-afdf-d03b72820000/$150727harvard?size=responsive300&update-time=1444057405951
166683,Massachusetts Institute of Technology,United States,USA,Cambridge (U.S.),2,true,false,Best Global Universities,97,11777,https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-166683,https://www.usnews.com/object/image/0000014e-d05f-d0b6-afdf-d05f34b90000/$150727MIT?size=responsive300&update-time=1535646171759
243744,Stanford University,United States,USA,Stanford,3,true,false,Best Global Universities,94.4,17622,https://www.usnews.com/education/best-global-universities/stanford-university-243744,https://www.usnews.com/object/image/0000016c-9bb2-d1ec-a97f-9bba269e0000/$190816stanford_university0?size=responsive300&update-time=
503637,University of Oxford,United Kingdom,GBR,Oxford,4,true,false,Best Global Universities,88.1,,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637,https://www.usnews.com/object/image/0000014e-d0b5-d0b6-afdf-d0b7fab40000/$150727Oxford?size=responsive300&update-time=1438090160344
502149,University of Cambridge,United Kingdom,GBR,Cambridge (U.K.),5,true,false,Best Global Universities,87.1,,https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149,https://www.usnews.com/object/image/0000014e-d0dd-d0b6-afdf-d0dfa5e00000/$150727Cambridge?size=responsive300&update-time=1475263504175
503146,Tsinghua University,China,CHN,Beijing,6,true,false,Best Global Universities,86.5,,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146,
110635,University of California--Berkeley,United States,USA,Berkeley,7,true,false,Best Global Universities,86.4,42858,https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635,https://www.usnews.com/object/image/0000014e-d06d-d8a0-adee-fffdae2b0000/$150727Berkeley?size=responsive300&update-time=1558448629952
130794,Yale University,United States,USA,New Haven,8,true,false,Best Global Universities,86,,https://www.usnews.com/education/best-global-universities/yale-university-130794,https://www.usnews.com/object/image/00000148-c6fa-d81c-a5f8-f6fb25e40000/$140930_Yale?size=responsive300&update-time=1412088338375
501693,University College London,United Kingdom,GBR,London (U.K.),9,true,false,Best Global Universities,85.3,43330,https://www.usnews.com/education/best-global-universities/university-college-london-501693,https://www.usnews.com/object/image/00000157-8cae-dca0-ad7f-ccbf42550000/$161003_UCL?size=responsive300&update-time=1475534101225
190150,Columbia University,United States,USA,New York City,10,true,false,Best Global Universities,85,30210,https://www.usnews.com/education/best-global-universities/columbia-university-190150,https://www.usnews.com/object/image/0000014e-d115-d0b6-afdf-d1177b780000/$150727Columbia?size=responsive300&update-time=1476994392682
110662,University of California--Los Angeles,United States,USA,Los Angeles,11,true,false,Best Global Universities,84.8,44795,https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662,https://www.usnews.com/object/image/0000014e-d0f0-d8a0-adee-fff068d40000/$150727UCLA?size=responsive300&update-time=1438024763242
236948,University of Washington,United States,USA,Seattle,12,true,false,Best Global Universities,84.4,49428,https://www.usnews.com/education/best-global-universities/university-of-washington-236948,https://www.usnews.com/object/image/00000155-82e0-d393-a9f5-fae850c30000/$160624_university_of_washington?size=responsive300&update-time=1466789774392
190415,Cornell University,United States,USA,Ithaca,13,true,false,Best Global Universities,84.2,,https://www.usnews.com/education/best-global-universities/cornell-university-190415,https://www.usnews.com/object/image/00000158-2636-d7c3-a3ff-f7767d480000/$161102_Cornell?size=responsive300&update-time=1479223700443
505571,Imperial College London,United Kingdom,GBR,London (U.K.),14,true,true,Best Global Universities,83.9,21265,https://www.usnews.com/education/best-global-universities/imperial-college-london-505571,https://www.usnews.com/object/image/00000152-12d6-dafd-add2-b3f6ec120000/$160105_ImperialCollegeLondon?size=responsive300&update-time=1467838338695
186131,Princeton University,United States,USA,Princeton,14,true,true,Best Global Universities,83.9,,https://www.usnews.com/education/best-global-universities/princeton-university-186131,https://www.usnews.com/object/image/00000155-82f6-d393-a9f5-fafea4040000/$160624_princeton?size=responsive300&update-time=1466789902421
505009,National University of Singapore,Singapore,SGP,Singapore,16,true,false,Best Global Universities,83.8,35446,https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009,
162928,Johns Hopkins University,United States,USA,Baltimore,17,true,true,Best Global Universities,83.4,20875,https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928,https://www.usnews.com/object/image/00000155-82e7-d393-a9f5-faefdefc0000/$160624_johns_hopkins_university?size=responsive300&update-time=1466789856391
215062,University of Pennsylvania,United States,USA,Philadelphia,17,true,true,Best Global Universities,83.4,22945,https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062,https://www.usnews.com/object/image/00000147-d5c9-d2c9-a37f-ddffc0770000/$140814_upenn_courtyard_EDITORIALONLY?size=responsive300&update-time=1408993165080
501148,Peking University,China,CHN,Beijing,19,true,false,Best Global Universities,83.1,35659,https://www.usnews.com/education/best-global-universities/peking-university-501148,
