univ_code,slug,name_cn,name_en,province,city,admin_type,category,level,education_level,current_rank,is_vocational,is_double_first_class,is_985,is_211,is_cooperative,is_private,is_independent_college
RC00001,tsinghua-university,清华大学,Tsinghua University,北京,北京市,教育部直属,综合,双一流,10,1,false,true,true,true,false,false,false
RC00002,peking-university,北京大学,Peking University,北京,北京市,教育部直属,综合,双一流,10,2,false,true,true,true,false,false,false
RC00003,zhejiang-university,浙江大学,Zhejiang University,浙江,杭州市,教育部直属,综合,双一流,10,3,false,true,true,true,false,false,false
RC00005,shanghai-jiao-tong-university,上海交通大学,Shanghai Jiao Tong University,上海,上海市,教育部直属,综合,双一流,10,4,false,true,true,true,false,false,false
RC00004,fudan-university,复旦大学,Fudan University,上海,上海市,教育部直属,综合,双一流,10,5,false,true,true,true,false,false,false
RC00009,nanjing-university,南京大学,Nanjing University,江苏,南京市,教育部直属,综合,双一流,10,6,false,true,true,true,false,false,false
RC00006,university-of-science-and-technology-of-china,中国科学技术大学,University of Science and Technology of China,安徽,合肥市,中央部属,理工,双一流,10,7,false,true,true,true,false,false,false
RC00020,wuhan-university,武汉大学,Wuhan University,湖北,武汉市,教育部直属,综合,双一流,10,8,false,true,true,true,false,false,false
RC00010,huazhong-university-of-science-and-technology,华中科技大学,Huazhong University of Science and Technology,湖北,武汉市,教育部直属,综合,双一流,10,9,false,true,true,true,false,false,false
RC00012,xian-jiaotong-university,西安交通大学,Xi'an Jiaotong University,陕西,西安市,教育部直属,综合,双一流,10,10,false,true,true,true,false,false,false
RC00013,beihang-university,北京航空航天大学,Beihang University,北京,北京市,中央部属,理工,双一流,10,11,false,true,true,true,false,false,false
RC00008,harbin-institute-of-technology,哈尔滨工业大学,Harbin Institute of Technology,黑龙江,哈尔滨市,中央部属,理工,双一流,10,12,false,true,true,true,false,false,false
RC00007,sun-yat-sen-university,中山大学,Sun Yat-sen University,广东,广州市,教育部直属,综合,双一流,10,13,false,true,true,true,false,false,false
RC00036,beijing-institute-of-technology,北京理工大学,Beijing Institute of Technology,北京,北京市,中央部属,理工,双一流,10,14,false,true,true,true,false,false,false
RC00039,peking-union-medical-college,北京协和医学院,Peking Union Medical College,北京,北京市,中央部属,医药,双一流,10,医1,false,true,false,false,false,false,false
RC00018,southeast-university,东南大学,Southeast University,江苏,南京市,教育部直属,综合,双一流,10,15,false,true,true,true,false,false,false
RC00011,sichuan-university,四川大学,Sichuan University,四川,成都市,教育部直属,综合,双一流,10,16,false,true,true,true,false,false,false
RC00085,renmin-university-of-china,中国人民大学,Renmin University of China,北京,北京市,教育部直属,综合,双一流,10,17,false,true,true,true,false,false,false
RC00026,tongji-university,同济大学,Tongji University,上海,上海市,教育部直属,综合,双一流,10,18,false,true,true,true,false,false,false
RC00014,beijing-normal-university,北京师范大学,Beijing Normal University,北京,北京市,教育部直属,师范,双一流,10,19,false,true,true,true,false,false,false
RC00015,tianjin-university,天津大学,Tianjin University,天津,天津市,教育部直属,理工,双一流,10,20,false,true,true,true,false,false,false
RC00025,nankai-university,南开大学,Nankai University,天津,天津市,教育部直属,综合,双一流,10,21,false,true,true,true,false,false,false
RC00031,shandong-university,山东大学,Shandong University,山东,济南市,教育部直属,综合,双一流,10,22,false,true,true,true,false,false,false
RC00034,northwestern-polytechnical-university,西北工业大学,Northwestern Polytechnical University,陕西,西安市,中央部属,理工,双一流,10,23,false,true,true,true,false,false,false
RC00024,china-agricultural-university,中国农业大学,China Agricultural University,北京,北京市,教育部直属,农业,双一流,10,24,false,true,true,true,false,false,false
RC00030,xiamen-university,厦门大学,Xiamen University,福建,厦门市,教育部直属,综合,双一流,10,25,false,true,true,true,false,false,false
RC00017,jilin-university,吉林大学,Jilin University,吉林,长春市,教育部直属,综合,双一流,10,26,false,true,true,true,false,false,false
RC00021,central-south-university,中南大学,Central South University,湖南,长沙市,教育部直属,综合,双一流,10,27,false,true,true,true,false,false,false
RC00016,dalian-university-of-technology,大连理工大学,Dalian University of Technology,辽宁,大连市,教育部直属,理工,双一流,10,28,false,true,true,true,false,false,false
RC00042,east-china-normal-university,华东师范大学,East China Normal University,上海,上海市,教育部直属,师范,双一流,10,29,false,true,true,true,false,false,false
RC00064,southern-university-of-science-and-technology,南方科技大学,Southern University of Science and Technology,广东,深圳市,地方公办,综合,双一流,10,30,false,true,false,false,false,false,false
RC00033,hunan-university,湖南大学,Hunan University,湖南,长沙市,教育部直属,综合,双一流,10,31,false,true,true,true,false,false,false
RC00022,south-china-university-of-technology,华南理工大学,South China University of Technology,广东,广州市,教育部直属,理工,双一流,10,32,false,true,true,true,false,false,false
RC00023,university-of-electronic-science-and-technology-of-china,电子科技大学,University of Electronic Science and Technology of China,四川,成都市,教育部直属,理工,双一流,10,33,false,true,true,true,false,false,false
RC00052,chongqing-university,重庆大学,Chongqing University,重庆,重庆市,教育部直属,综合,双一流,10,34,false,true,true,true,false,false,false
RC00037,university-of-science-and-technology-beijing,北京科技大学,University of Science and Technology Beijing,北京,北京市,教育部直属,理工,双一流,10,35,false,true,false,true,false,false,false
RC00335,shanghai-university-of-finance-and-economics,上海财经大学,Shanghai University of Finance and Economics,上海,上海市,教育部直属,财经,双一流,10,财1,false,true,false,true,false,false,false
RC00028,nanjing-university-of-science-and-technology,南京理工大学,Nanjing University of Science & Technology,江苏,南京市,中央部属,理工,双一流,10,36,false,true,false,true,false,false,false
RC00044,nanjing-university-of-aeronautics-and-astronautics,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,江苏,南京市,中央部属,理工,双一流,10,37,false,true,false,true,false,false,false
RC00040,capital-medical-university,首都医科大学,Capital Medical University,北京,北京市,地方公办,医药,地方公办,10,医2,false,false,false,false,false,false,false
RC00053,northeastern-university,东北大学,Northeastern University,辽宁,沈阳市,教育部直属,理工,双一流,10,38,false,true,true,true,false,false,false
RC00080,xidian-university,西安电子科技大学,Xidian University,陕西,西安市,教育部直属,理工,双一流,10,39,false,true,false,true,false,false,false
RC00927,the-chinese-university-of-hong-kong-shenzhen,香港中文大学（深圳）,"The Chinese University of Hong Kong, Shenzhen",广东,深圳市,中外合作,综合,合作高校,10,合作1,false,false,false,false,true,false,false
RC00035,lanzhou-university,兰州大学,Lanzhou University,甘肃,兰州市,教育部直属,综合,双一流,10,40,false,true,true,true,false,false,false
RC00054,beijing-jiaotong-university,北京交通大学,Beijing Jiaotong University,北京,北京市,教育部直属,理工,双一流,10,41,false,true,false,true,false,false,false
RC00027,east-china-university-of-science-and-technology,华东理工大学,East China University of Science and Technology,上海,上海市,教育部直属,理工,双一流,10,42,false,true,false,true,false,false,false
RC00062,southern-medical-university,南方医科大学,Southern Medical University,广东,广州市,地方公办,医药,地方公办,10,医3,false,false,false,false,false,false,false
RC00139,central-university-of-finance-and-economics,中央财经大学,Central University of Finance and Economics,北京,北京市,教育部直属,财经,双一流,10,财2,false,true,false,true,false,false,false
RC00041,harbin-engineering-university,哈尔滨工程大学,Harbin Engineering University,黑龙江,哈尔滨市,中央部属,理工,双一流,10,43,false,true,false,true,false,false,false
RC00059,zhengzhou-university,郑州大学,Zhengzhou University,河南,郑州市,地方公办,综合,双一流,10,44,false,true,false,true,false,false,false
RC00051,huazhong-agricultural-university,华中农业大学,Huazhong Agricultural University,湖北,武汉市,教育部直属,农业,双一流,10,45,false,true,false,true,false,false,false
