地区,类别,中文名,外文名,英文别名
香港,教资会资助大学及公帑资助院校,香港大学,The University of Hong Kong,University of Hong Kong
香港,教资会资助大学及公帑资助院校,香港中文大学,The Chinese University of Hong Kong,Chinese University Hong Kong
香港,教资会资助大学及公帑资助院校,香港科技大学,The Hong Kong University of Science and Technology,Hong Kong University of Science and Technology
香港,教资会资助大学及公帑资助院校,香港理工大学,The Hong Kong Polytechnic University,Hong Kong Polytechnic University
香港,教资会资助大学及公帑资助院校,香港城市大学,City University of Hong Kong,City University Hong Kong
香港,教资会资助大学及公帑资助院校,香港浸会大学,Hong Kong Baptist University,
香港,教资会资助大学及公帑资助院校,岭南大学,Lingnan University,"Lingnan University, Hong Kong"
香港,教资会资助大学及公帑资助院校,香港教育大学,The Education University of Hong Kong,Education University of Hong Kong
香港,教资会资助大学及公帑资助院校,香港演艺学院,Hong Kong Academy for Performing Arts,
香港,自资专上院校,香港都会大学,Hong Kong Metropolitan University,
香港,自资专上院校,香港恒生大学,The Hang Seng University of Hong Kong,Hang Seng University of Hong Kong
香港,自资专上院校,香港树仁大学,Hong Kong Shue Yan University,
香港,自资专上院校,圣方济各大学,Saint Francis University,Caritas Institute of Higher Education
香港,自资专上院校,香港珠海学院,Hong Kong Chu Hai College,Chu Hai College of Higher Education
香港,自资专上院校,东华学院,Tung Wah College,
香港,自资专上院校,明德学院,Centennial College,
香港,自资专上院校,宏恩基督教学院,Gratia Christian College,
香港,自资专上院校,港专学院,HKCT Institute of Higher Education,
香港,自资专上院校,香港能仁专上学院,Hong Kong Nang Yan College of Higher Education,
香港,自资专上院校,香港伍伦贡学院,UOW College Hong Kong,
香港,自资专上院校,耀中幼教学院,Yew Chung College of Early Childhood Education,
香港,自资专上院校,职业训练局 - 香港高等教育科技学院,"Technological and Higher Education Institute of Hong Kong, Vocational Training Council",Technological and Higher Education Institute of Hong Kong
澳门,公立高等学校,澳门大学,University of Macau,University of Macao
澳门,公立高等学校,澳门理工大学,Macao Polytechnic University,Macau Polytechnic University
澳门,公立高等学校,澳门旅游大学,Macao University of Tourism,Macau University of Tourism
澳门,公立高等学校,澳门保安部队高等学校,Academy of Public Security Forces,
澳门,私立高等学校,澳门科技大学,Macau University of Science and Technology,Macao University of Science and Technology
澳门,私立高等学校,澳门城市大学,City University of Macau,City University of Macao
澳门,私立高等学校,圣若瑟大学,University of Saint Joseph,
澳门,私立高等学校,澳门镜湖护理学院,Kiang Wu Nursing College of Macau,Kiang Wu Nursing College of Macao
澳门,私立高等学校,澳门管理学院,Macau Institute of Management,Macao Institute of Management
澳门,私立高等学校,中西创新学院,Millennium Institute of Macao,Millennium Institute of Macau
台湾,顶尖公立大学,国立台湾大学,National Taiwan University,
台湾,顶尖公立大学,国立清华大学,National Tsing Hua University,
台湾,顶尖公立大学,国立阳明交通大学,National Yang Ming Chiao Tung University,
台湾,顶尖公立大学,国立成功大学,National Cheng Kung University,
台湾,顶尖公立大学,国立政治大学,National Chengchi University,
台湾,顶尖公立大学,国立中山大学,National Sun Yat-sen University,
台湾,顶尖公立大学,国立中央大学,National Central University,
台湾,顶尖公立大学,国立中兴大学,National Chung Hsing University,
台湾,顶尖公立大学,国立台湾师范大学,National Taiwan Normal University,
台湾,顶尖公立大学,台北市立大学,University of Taipei,
台湾,顶尖公立大学,国立台北大学,National Taipei University,
台湾,顶尖公立大学,国立中正大学,National Chung Cheng University,
台湾,顶尖公立大学,国立东华大学,National Dong Hwa University,
台湾,知名公立科技/艺术院校,国立台湾科技大学,National Taiwan University of Science and Technology,Taiwan Tech
台湾,知名公立科技/艺术院校,国立台北科技大学,National Taipei University of Technology,Taipei Tech
台湾,知名公立科技/艺术院校,国立云林科技大学,National Yunlin University of Science and Technology,
台湾,知名公立科技/艺术院校,国立台北艺术大学,Taipei National University of the Arts,
台湾,知名公立科技/艺术院校,国立台湾艺术大学,National Taiwan University of Arts,
台湾,知名私立综合大学,辅仁大学,Fu Jen Catholic University,
台湾,知名私立综合大学,东吴大学,Soochow University,
台湾,知名私立综合大学,淡江大学,Tamkang University,
台湾,知名私立综合大学,逢甲大学,Feng Chia University,
台湾,知名私立综合大学,中原大学,Chung Yuan Christian University,
台湾,知名私立综合大学,东海大学,Tunghai University,
台湾,知名私立综合大学,中国文化大学,Chinese Culture University,
台湾,知名私立综合大学,铭传大学,Ming Chuan University,
台湾,知名私立综合大学,实践大学,Shih Chien University,
台湾,知名私立综合大学,世新大学,Shih Hsin University,
台湾,知名私立医科大学,中国医药大学,China Medical University,China Medical University Taiwan
台湾,知名私立医科大学,台北医学大学,Taipei Medical University,
台湾,知名私立医科大学,高雄医学大学,Kaohsiung Medical University,
台湾,知名私立医科大学,长庚大学,Chang Gung University,
