index,rank_2027,rank_2026,institution_name,country_territory,region,size,focus,research_intensity,status,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,international_research_network_score,international_research_network_rank,employment_outcomes_score,employment_outcomes_rank,sustainability_score,sustainability_rank,overall_score
1,1,1,Massachusetts Institute of Technology (MIT),United States of America,Americas,M,FO,VH,Private not for Profit,100,4,100,2,100,17,100,14,100,65,91.1,170,94.4,105,100,4,93.2,43=,100
2,2,2,Imperial College London,United Kingdom,Europe,L,CO,VH,Public,99.6,22,100,9,98.9,44,93.8,81,100,86,100,44,98.8,16,96.4,57,98,7=,99.2
3,2,3,Stanford University,United States of America,Americas,L,FC,VH,Private not for Profit,100,5,100,3,100,13,98.8,39,97.9,147,75.1,258,96.8,50,100,2,97.6,14,99.2
4,4,4,University of Oxford,United Kingdom,Europe,L,FC,VH,Public,100,2,100,4,100,8,89,113,98.7,138,98.6,87,100,1,100,3,97.4,15,98.6
5,5,5,Harvard University,United States of America,Americas,L,FC,VH,Private not for Profit,100,1,100,1,97.4,57,100,1,86.1,267,73.2,271,99.5,8,100,1,75.6,285=,97.4
6,6,6,University of Cambridge,United Kingdom,Europe,L,FC,VH,Public,100,3,100,5,100,19,87.4,121,100,91,96.3,125,99.6,6,100,6,77,264=,97.1
7,7,10,California Institute of Technology (Caltech),United States of America,Americas,S,FO,VH,Private not for Profit,97.4,41,99.6,18,100,3,100,4,100,76,92.2,160,64.1,683,95.4,64,77,264=,96.6
8,8,7,ETH Zurich,Switzerland,Europe,L,FO,VH,Public,99.8,17,97.7,33,65,265,98.8,41,100,29,99.5,75,96.7,53,95.2,66,97.7,11=,96.3
9,8,9,UCL,United Kingdom,Europe,XL,FC,VH,Public,99.9,14,99.7,15,90.3,107,86.1,125,99.3,124,100,24,99.9,2,85.6,126,98.9,3,96.3
10,10,8,National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,Public,100,12,99.1,26,75.3,191,93.5,83,100,45,98.5,91,92.5,141,100,9,91.6,69=,96.2
11,11,11,The University of Hong Kong,"Hong Kong SAR, China",Asia,L,FC,VH,Public,99.3,26,88,79,85,137,98.7,43,100,33,100,38,86.9,227,99.9,15,87.1,118=,95.9
