序号,省级地区,学校名称,学校标识码,主管部门,所在地,办学层次,备注
1,北京市,北京大学,4111010001,教育部,北京市,本科,
2,北京市,中国人民大学,4111010002,教育部,北京市,本科,
3,北京市,清华大学,4111010003,教育部,北京市,本科,
4,北京市,北京交通大学,4111010004,教育部,北京市,本科,
5,北京市,北京工业大学,4111010005,北京市,北京市,本科,
6,北京市,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,
7,北京市,北京理工大学,4111010007,工业和信息化部,北京市,本科,
8,北京市,北京科技大学,4111010008,教育部,北京市,本科,
9,北京市,北方工业大学,4111010009,北京市,北京市,本科,
10,北京市,北京化工大学,4111010010,教育部,北京市,本科,
11,北京市,北京工商大学,4111010011,北京市,北京市,本科,
12,北京市,北京服装学院,4111010012,北京市,北京市,本科,
13,北京市,北京邮电大学,4111010013,教育部,北京市,本科,
14,北京市,北京印刷学院,4111010015,北京市,北京市,本科,
15,北京市,北京建筑大学,4111010016,北京市,北京市,本科,
16,北京市,北京石油化工学院,4111010017,北京市,北京市,本科,
17,北京市,北京电子科技学院,4111010018,中央办公厅,北京市,本科,
18,北京市,中国农业大学,4111010019,教育部,北京市,本科,
19,北京市,北京农学院,4111010020,北京市,北京市,本科,
20,北京市,北京林业大学,4111010022,教育部,北京市,本科,
21,北京市,北京协和医学院,4111010023,国家卫生健康委员会,北京市,本科,
22,北京市,首都医科大学,4111010025,北京市,北京市,本科,
23,北京市,北京中医药大学,4111010026,教育部,北京市,本科,
24,北京市,北京师范大学,4111010027,教育部,北京市,本科,
25,北京市,首都师范大学,4111010028,北京市,北京市,本科,
26,北京市,首都体育学院,4111010029,北京市,北京市,本科,
27,北京市,北京外国语大学,4111010030,教育部,北京市,本科,
28,北京市,北京第二外国语学院,4111010031,北京市,北京市,本科,
29,北京市,北京语言大学,4111010032,教育部,北京市,本科,
30,北京市,中国传媒大学,4111010033,教育部,北京市,本科,
31,北京市,中央财经大学,4111010034,教育部,北京市,本科,
32,北京市,对外经济贸易大学,4111010036,教育部,北京市,本科,
33,北京市,北京物资学院,4111010037,北京市,北京市,本科,
34,北京市,首都经济贸易大学,4111010038,北京市,北京市,本科,
35,北京市,中国消防救援学院,4111010039,国家消防救援局,北京市,本科,
36,北京市,外交学院,4111010040,外交部,北京市,本科,
37,北京市,中国人民公安大学,4111010041,公安部,北京市,本科,
38,北京市,国际关系学院,4111010042,教育部,北京市,本科,
39,北京市,北京体育大学,4111010043,国家体育总局,北京市,本科,
40,北京市,中央音乐学院,4111010045,教育部,北京市,本科,
41,北京市,中国音乐学院,4111010046,北京市,北京市,本科,
42,北京市,中央美术学院,4111010047,教育部,北京市,本科,
43,北京市,中央戏剧学院,4111010048,教育部,北京市,本科,
44,北京市,中国戏曲学院,4111010049,北京市,北京市,本科,
45,北京市,北京电影学院,4111010050,北京市,北京市,本科,
46,北京市,北京舞蹈学院,4111010051,北京市,北京市,本科,
47,北京市,中央民族大学,4111010052,国家民委,北京市,本科,
48,北京市,中国政法大学,4111010053,教育部,北京市,本科,
49,北京市,华北电力大学,4111010054,教育部,北京市,本科,
50,北京市,中华女子学院,4111011149,中华妇女联合会,北京市,本科,
51,北京市,北京信息科技大学,4111011232,北京市,北京市,本科,
