中文名,外文名,QS
阿迪格国立大学,Адыгейский государственный университет,
阿尔法医疗福祉专门学校,アルファ医療福祉専門学校,
阿尔马维尔语言社会学院,Армавирский лингвистический социальный институт,
阿尔泰国立大学,Алтайский государственный университет,
阿尔泰国立技术大学,Алтайский государственный технический университет им. И. И. Ползунова,
阿尔泰国立农业大学,Алтайский государственный аграрный университет,
阿尔泰国立师范大学,Алтайский государственный педагогический университет,
阿尔泰国立文化学院,Алтайский государственный институт культуры,
阿尔泰国立医科大学,Алтайский государственный медицинский университет,
阿克托别州立大学,Актюбинский региональный университет имени К. Жубанова,
阿拉木图管理大学,Алматы менеджмент университет,
阿拉木图哈萨克-德国大学,Казахстанско-Немецкий Университет в Алматы,
阿拉木图技术大学,Алматинский технологический университет,
阿列赫姆国立大学,Приамурский государственный университет имени Шолом-Алейхема,
阿玛维尔国立师范大学,Армавирский государственный педагогический университет,
阿穆尔国立大学,Амурский государственный университет,
阿穆尔国立人文师范大学,Амурский гуманитарно-педагогический государственный университет,
阿穆尔国立医学院,Амурская государственная медицинская академия,
阿穆尔河畔共青城国立大学,Комсомольский-на-Амуре государственный университет,
阿斯特拉罕国立大学,Астраханский государственный университет им. В. Н. Татищева,
阿斯特拉罕国立技术大学,Астраханский государственный технический университет,
阿斯特拉罕国立音乐学院,Астраханская государственная консерватория,
阿塔图尔克阿拉图国际大学,Международный университет Ататюрк-Алатоо,
阿特劳大学,Атырауский университет имени Х. Досмухамедова,
阿特劳石油天然气大学,Атырауский университет нефти и газа имени Сафи Утебаева,
阿维森纳国际医学大学,"Международный медицинский университет ""Авиценна""",
爱国学园大学,愛国学園大学,
爱甲学院专门学校,愛甲学院専門学校,
爱普生情报科学专门学校,エプソン情報科学専門学校,
爱知产业大学,愛知産業大学,
爱知产业大学短期大学,愛知産業大学短期大学,
爱知大学,愛知大学,
爱知东邦大学,愛知東邦大学,
爱知工科大学,愛知工科大学,
爱知工业大学,愛知工業大学,
爱知教育大学,愛知教育大学,
爱知商务专门学校,あいちビジネス専門学校,
爱知淑德大学,愛知淑徳大学,
爱知文教大学,愛知文教大学,
爱知县立大学,愛知県立大学,
爱知县立艺术大学,愛知県立芸術大学,
爱知学泉大学,愛知学泉大学,
爱知学院大学,愛知学院大学,
爱知学院大学短期大学部,愛知学院大学短期大学部,
安川专门学校罗伊摩登学院,安川専門学校ロイモード学院,
安山大学,안산대학교,
安田女子大学,安田女子大学,
敖德萨国立大学,Одеський національний університет імені І. І. Мечникова,
